EventID,Event,AuctionType,StartTime,EndTime,KafkaReceived,GasCost,Note,TimeElapsed,KafkaTime
Fox,auctioner.add_asset,english,2024-03-25 03:08:29.117447 +0800 +08,2024-03-25 03:09:19.242099 +0800 +08,2024-03-25 03:09:19.257429 +0800 +08 m=+211.418522292,0,,50.124652s,15.33ms
Elephant,auctioner.add_asset,english,2024-03-25 03:08:29.117351 +0800 +08,2024-03-25 03:08:44.438612 +0800 +08,2024-03-25 03:08:44.448526 +0800 +08 m=+176.609643209,0,,15.321261s,9.914ms
Wolf,auctioner.add_asset,english,2024-03-25 03:08:29.117413 +0800 +08,2024-03-25 03:08:29.166453 +0800 +08,2024-03-25 03:08:29.183246 +0800 +08 m=+161.344373709,0,,49.04ms,16.793ms
Bear,auctioner.add_asset,english,2024-03-25 03:08:29.117335 +0800 +08,2024-03-25 03:08:31.218727 +0800 +08,2024-03-25 03:08:31.236822 +0800 +08 m=+163.397948459,0,,2.101392s,18.095ms
Giraffe,auctioner.add_asset,english,2024-03-25 03:08:29.11745 +0800 +08,2024-03-25 03:08:33.278684 +0800 +08,2024-03-25 03:08:33.295751 +0800 +08 m=+165.456875959,0,,4.161234s,17.067ms
Cheetah,auctioner.add_asset,english,2024-03-25 03:08:29.117452 +0800 +08,2024-03-25 03:08:38.849477 +0800 +08,2024-03-25 03:08:38.868398 +0800 +08 m=+171.029519001,0,,9.732025s,18.921ms
Leopard,auctioner.add_asset,english,2024-03-25 03:08:29.117316 +0800 +08,2024-03-25 03:08:57.621035 +0800 +08,2024-03-25 03:08:57.637272 +0800 +08 m=+189.798380084,0,,28.503719s,16.237ms
Zebra,auctioner.add_asset,english,2024-03-25 03:08:29.117293 +0800 +08,2024-03-25 03:08:50.000075 +0800 +08,2024-03-25 03:08:50.017492 +0800 +08 m=+182.178605084,0,,20.882782s,17.417ms
Tiger,auctioner.add_asset,english,2024-03-25 03:08:29.117333 +0800 +08,2024-03-25 03:08:55.55057 +0800 +08,2024-03-25 03:08:55.570565 +0800 +08 m=+187.731674417,0,,26.433237s,19.995ms
Lion,auctioner.add_asset,english,2024-03-25 03:08:29.117319 +0800 +08,2024-03-25 03:09:10.196033 +0800 +08,2024-03-25 03:09:10.206011 +0800 +08 m=+202.367110126,0,,41.078714s,9.978ms
Wolf,relayer.start_auction,english,2024-03-25 03:08:29.17733 +0800 +08,2024-03-25 03:08:38.834566 +0800 +08,2024-03-25 03:08:38.850569 +0800 +08 m=+171.011689876,278902,ETH:139451 QUO:139451,9.657236s,16.003ms
Bear,relayer.start_auction,english,2024-03-25 03:08:31.234804 +0800 +08,2024-03-25 03:08:44.432606 +0800 +08,2024-03-25 03:08:44.438893 +0800 +08 m=+176.600009917,278902,ETH:139451 QUO:139451,13.197802s,6.287ms
Giraffe,relayer.start_auction,english,2024-03-25 03:08:33.294603 +0800 +08,2024-03-25 03:08:49.981078 +0800 +08,2024-03-25 03:08:50.000052 +0800 +08 m=+182.161165626,279286,ETH:139643 QUO:139643,16.686475s,18.974ms
Cheetah,relayer.start_auction,english,2024-03-25 03:08:38.867006 +0800 +08,2024-03-25 03:08:55.542349 +0800 +08,2024-03-25 03:08:55.550549 +0800 +08 m=+187.711658334,279286,ETH:139643 QUO:139643,16.675343s,8.2ms
Elephant,relayer.start_auction,english,2024-03-25 03:08:44.447961 +0800 +08,2024-03-25 03:09:03.184607 +0800 +08,2024-03-25 03:09:03.200044 +0800 +08 m=+195.361148292,279414,ETH:139707 QUO:139707,18.736646s,15.437ms
Zebra,relayer.start_auction,english,2024-03-25 03:08:50.015858 +0800 +08,2024-03-25 03:09:06.665052 +0800 +08,2024-03-25 03:09:06.684867 +0800 +08 m=+198.845968792,279030,ETH:139515 QUO:139515,16.649194s,19.815ms
Tiger,relayer.start_auction,english,2024-03-25 03:08:55.570539 +0800 +08,2024-03-25 03:09:10.175265 +0800 +08,2024-03-25 03:09:10.196081 +0800 +08 m=+202.357180876,279030,ETH:139515 QUO:139515,14.604726s,20.816ms
Leopard,relayer.start_auction,english,2024-03-25 03:08:57.635988 +0800 +08,2024-03-25 03:09:15.728566 +0800 +08,2024-03-25 03:09:15.734631 +0800 +08 m=+207.895726667,279286,ETH:139643 QUO:139643,18.092578s,6.065ms
Lion,relayer.start_auction,english,2024-03-25 03:09:10.205653 +0800 +08,2024-03-25 03:09:19.225917 +0800 +08,2024-03-25 03:09:19.24262 +0800 +08 m=+211.403713584,278902,ETH:139451 QUO:139451,9.020264s,16.703ms
Fox,relayer.start_auction,english,2024-03-25 03:09:19.256219 +0800 +08,2024-03-25 03:09:24.778696 +0800 +08,2024-03-25 03:09:24.79289 +0800 +08 m=+216.953979334,278774,ETH:139387 QUO:139387,5.522477s,14.194ms
